RR,,,,,,,,,,MLFQ,,,,,,,
,,,,,,,,,,,,,,,,,
prom_N,,,prom_q_10,,,prom_q_100,,,,prom_N,,,prom_q_10,,,prom_q_100,
io1,io2,,io1,io2,,io1,io2,,,io1,io2,,io1,io2,,io1,io2
8047.70588235294,8043.55882352941,,6939.16666666667,6931.53333333333,,4761375,4766.59375,,,7490.65517241379,7112.5,,7329.23333333333,7304.23333333333,,,
